350130022,1,RURAL,3,31.787778,-106.682778,-7
350151004,1,URBAN AND CENTER CITY,1,32.855556,-104.411389,-7
350151005,1,RURAL,3,32.38,-104.262222,-7
350250008,1,SUBURBAN,2,32.726656,-103.122917,-7
350290003,1,SUBURBAN,2,32.2558,-107.7227,-7
350431003,1,URBAN AND CENTER CITY,1,35.238056,-106.649444,-7
350450009,1,RURAL,3,36.742222,-107.976944,-7
350450018,1,RURAL,3,36.80973,-107.65158,-7
350451005,2,UNKNOWN,4,36.796667,-108.4725,-7
360050110,1,URBAN AND CENTER CITY,1,40.81618,-73.902,-5
360050133,1,URBAN AND CENTER CITY,1,40.8679,-73.87809,-5
360290002,1,SUBURBAN,2,42.99328,-78.77153,-5
360290005,1,URBAN AND CENTER CITY,1,42.876907,-78.809526,-5
360590005,2,SUBURBAN,2,40.74316,-73.58549,-5
360610056,1,URBAN AND CENTER CITY,1,40.75912,-73.96661,-5
360810124,1,URBAN AND CENTER CITY,1,40.73614,-73.82153,-5
361010003,5,RURAL,3,42.09142,-77.20978,-5
361030009,2,SUBURBAN,2,40.82799,-73.05754,-5
370670022,1,URBAN AND CENTER CITY,1,36.110556,-80.226667,-5
371190041,1,URBAN AND CENTER CITY,1,35.2401,-80.785683,-5
371190041,2,URBAN AND CENTER CITY,1,35.2401,-80.785683,-5
380130004,1,RURAL,3,48.64193,-102.4018,-6
380150003,1,SUBURBAN,2,46.825425,-100.76821,-6
380171004,1,SUBURBAN,2,46.933754,-96.85535,-6
380250003,1,RURAL,3,47.3132,-102.5273,-7
380530002,1,RURAL,3,47.5812,-103.2995,-7
380570004,1,RURAL,3,47.298611,-101.766944,-7
380570102,1,RURAL,3,47.325,-101.765833,-7
380570124,1,RURAL,3,47.400619,-101.92865,-6
380650002,1,RURAL,3,47.185833,-101.428056,-7
390090004,1,RURAL,3,39.307978,-82.118247,-5
390350060,1,URBAN AND CENTER CITY,1,41.492117,-81.678449,-5
390350070,1,URBAN AND CENTER CITY,1,41.456813,-81.592358,-5
390610040,1,URBAN AND CENTER CITY,1,39.12886,-84.50404,-5
400219002,1,RURAL,3,35.85408,-94.985964,-6
400979014,1,RURAL,3,36.228408,-95.249943,-6
400979014,2,RURAL,3,36.228408,-95.249943,-6
401090033,1,URBAN AND CENTER CITY,1,35.477036,-97.494309,-6
401091037,1,SUBURBAN,2,35.614131,-97.475083,-6
401359015,1,RURAL,3,35.581174,-94.830059,-6
401431127,1,URBAN AND CENTER CITY,1,36.204902,-95.976537,-6
410510080,1,SUBURBAN,2,45.496641,-122.602877,-8
410591003,1,RURAL,3,45.828968,-119.262991,-8
420030008,1,SUBURBAN,2,40.46542,-79.960757,-5
420031005,1,SUBURBAN,2,40.613949,-79.72941,-5
421010004,1,URBAN AND CENTER CITY,1,40.008889,-75.09778,-5
440030002,1,UNKNOWN,4,41.615237,-71.72,-5
440070012,1,URBAN AND CENTER CITY,1,41.825556,-71.405278,-5
440071010,1,SUBURBAN,2,41.841573,-71.36077,-5
460330132,3,RURAL,3,43.55764,-103.48386,-6
460710001,3,RURAL,3,43.74561,-101.941218,-6
460990007,3,URBAN AND CENTER CITY,1,43.537626,-96.682001,-6
471410004,2,RURAL,3,36.20515,-85.39975,-5
480290046,1,URBAN AND CENTER CITY,1,29.426944,-98.486389,-6
480290052,1,RURAL,3,29.632058,-98.564936,-6
480290059,1,RURAL,3,29.275381,-98.311692,-6
480391004,1,SUBURBAN,2,29.520443,-95.392509,-6
480391016,1,SUBURBAN,2,29.043759,-95.472946,-6
481130069,2,URBAN AND CENTER CITY,1,32.819952,-96.860082,-6
481130075,1,SUBURBAN,2,32.919206,-96.808498,-6
481130087,1,SUBURBAN,2,32.676451,-96.87206,-6
481210034,1,RURAL,3,33.219056,-97.196287,-6
481390015,2,SUBURBAN,2,32.436944,-97.025,-6
481390016,1,SUBURBAN,2,32.482082,-97.026922,-6
481410037,1,URBAN AND CENTER CITY,1,31.768291,-106.50126,-7
481410044,1,URBAN AND CENTER CITY,1,31.765698,-106.45522,-7
481410055,1,SUBURBAN,2,31.746743,-106.402784,-7
481410057,1,SUBURBAN,2,31.6675,-106.288,-7
481410058,1,SUBURBAN,2,31.893913,-106.425814,-7
481671034,1,SUBURBAN,2,29.254474,-94.861289,-6
481830001,1,RURAL,3,32.378682,-94.711811,-6
482010024,1,SUBURBAN,2,29.901037,-95.326125,-6
482010024,2,SUBURBAN,2,29.901037,-95.326125,-6
482010026,2,SUBURBAN,2,29.802707,-95.125495,-6
482010029,1,RURAL,3,30.039534,-95.6739,-6
482010047,1,SUBURBAN,2,29.834722,-95.489167,-6
482010055,1,SUBURBAN,2,29.695744,-95.499262,-6
482010075,1,URBAN AND CENTER CITY,1,29.752778,-95.350278,-6
482010416,1,URBAN AND CENTER CITY,1,29.686389,-95.294722,-6
482011015,1,SUBURBAN,2,29.761653,-95.081386,-6
482011034,1,SUBURBAN,2,29.767971,-95.220587,-6
482011035,1,URBAN AND CENTER CITY,1,29.733726,-95.257593,-6
482011039,1,URBAN AND CENTER CITY,1,29.670025,-95.128508,-6
482011050,1,SUBURBAN,2,29.583047,-95.015544,-6
